customer num,txn_date,txn_ref_no,Counterparties,txn_country,txn_currency,txn currency_amount,txn_amount_in_hkd,cdi_code,Txn Type
1111111111,2026-04-08 00:00:00,1,2222222222,HKG,HKD,50000,50000,D,TRANSFER_P2P
2222222222,2026-04-08 00:00:00,2,1111111111,HKG,HKD,50000,50000,C,TRANSFER_P2P
2222222222,2026-04-08 01:00:00,3,3333333333,HKG,HKD,50000,50000,D,TRANSFER_P2P
3333333333,2026-04-08 01:00:00,4,2222222222,HKG,HKD,50000,50000,C,TRANSFER_P2P
3333333333,2026-04-08 02:00:00,5,1111111111,HKG,HKD,50000,50000,D,TRANSFER_P2P
1111111111,2026-04-08 02:00:00,6,3333333333,HKG,HKD,50000,50000,C,TRANSFER_P2P
5555555555,2026-04-08 00:00:00,7,4444444444,HKG,HKD,9934,9934,D,TRANSFER_P2P
4444444444,2026-04-08 00:00:00,8,5555555555,HKG,HKD,9934,9934,C,TRANSFER_P2P
5555555556,2026-04-08 00:00:00,9,4444444444,HKG,HKD,9886,9886,D,TRANSFER_P2P
4444444444,2026-04-08 00:00:00,10,5555555556,HKG,HKD,9886,9886,C,TRANSFER_P2P
5555555557,2026-04-08 00:00:00,11,4444444444,HKG,HKD,9908,9908,D,TRANSFER_P2P
4444444444,2026-04-08 00:00:00,12,5555555557,HKG,HKD,9908,9908,C,TRANSFER_P2P
5555555558,2026-04-08 00:00:00,13,4444444444,HKG,HKD,9915,9915,D,TRANSFER_P2P
4444444444,2026-04-08 00:00:00,14,5555555558,HKG,HKD,9915,9915,C,TRANSFER_P2P
5555555559,2026-04-08 00:00:00,15,4444444444,HKG,HKD,9925,9925,D,TRANSFER_P2P
4444444444,2026-04-08 00:00:00,16,5555555559,HKG,HKD,9925,9925,C,TRANSFER_P2P
5555555560,2026-04-08 00:00:00,17,4444444444,HKG,HKD,9873,9873,D,TRANSFER_P2P
4444444444,2026-04-08 00:00:00,18,5555555560,HKG,HKD,9873,9873,C,TRANSFER_P2P
5555555561,2026-04-08 00:00:00,19,4444444444,HKG,HKD,9944,9944,D,TRANSFER_P2P
4444444444,2026-04-08 00:00:00,20,5555555561,HKG,HKD,9944,9944,C,TRANSFER_P2P
5555555562,2026-04-08 00:00:00,21,4444444444,HKG,HKD,9858,9858,D,TRANSFER_P2P
